#SampleID	Metaphlan2_Analysis
Bacteria|Actinomycetota|Acidimicrobiia|Acidimicrobiales|RAAP-2|Palsa-461|	7
Bacteria|Actinomycetota|Acidimicrobiia|Acidimicrobiales|UBA8139||	14
Bacteria|Actinomycetota|Acidimicrobiia|IMCC26256|||	7
Bacteria|Actinomycetota|Acidimicrobiia|IMCC26256|IMCC26256|JAENVU01|	7
Bacteria|Actinomycetota|Acidimicrobiia|IMCC26256|JACDBD01|JACDBD01|	7
Bacteria|Actinomycetota|Acidimicrobiia|IMCC26256|PALSA-555||	14
Bacteria|Actinomycetota|Acidimicrobiia|IMCC26256|PALSA-610||	7
Bacteria|Actinomycetota|Acidimicrobiia|UBA5794|ZC4RG35|JAHWLC01|	7
Bacteria|Actinomycetota|Acidimicrobiia|UBA5794|ZC4RG35|SZUA-217|	14
Bacteria|Actinomycetota|Actinomycetia||||	35
Bacteria|Actinomycetota|Actinomycetia|Acidothermales|Acidothermaceae|PALSA-607|	7
Bacteria|Actinomycetota|Actinomycetia|Actinomycetales|Dermatophilaceae|UBA4719|	7
Bacteria|Actinomycetota|Actinomycetia|Actinomycetales|Kineosporiaceae||	14
Bacteria|Actinomycetota|Actinomycetia|Actinomycetales|Microbacteriaceae|Galbitalea|	7
Bacteria|Actinomycetota|Actinomycetia|Actinomycetales|Microbacteriaceae|Lacisediminihabitans|	7
Bacteria|Actinomycetota|Actinomycetia|Actinomycetales|Microbacteriaceae|Leifsonia_B|	7
Bacteria|Actinomycetota|Actinomycetia|Actinomycetales|Microbacteriaceae|Microbacterium|	7
Bacteria|Actinomycetota|Actinomycetia|Actinomycetales|Microbacteriaceae|Rhodoglobus|	7
Bacteria|Actinomycetota|Actinomycetia|Euzebyales|Egibacteraceae|JACCXR01|	7
Bacteria|Actinomycetota|Actinomycetia|Euzebyales|JAHELV01||	7
Bacteria|Actinomycetota|Actinomycetia|JACCUZ01|JACCUZ01||	7
Bacteria|Actinomycetota|Actinomycetia|Jiangellales|Jiangellaceae||	7
Bacteria|Actinomycetota|Actinomycetia|Jiangellales|Jiangellaceae|JACVRX01|	14
Bacteria|Actinomycetota|Actinomycetia|Mycobacteriales|JACQDL01||	7
Bacteria|Actinomycetota|Actinomycetia|Mycobacteriales|JAFAQI01|JAFAQI01|	14
Bacteria|Actinomycetota|Actinomycetia|Mycobacteriales|Jatrophihabitantaceae|Jatrophihabitans|	7
Bacteria|Actinomycetota|Actinomycetia|Mycobacteriales|Jatrophihabitantaceae|WQZC01|	7
Bacteria|Actinomycetota|Actinomycetia|Mycobacteriales|Micromonosporaceae|Planosporangium|	14
Bacteria|Actinomycetota|Actinomycetia|Mycobacteriales|Mycobacteriaceae|Mycobacterium|	42
Bacteria|Actinomycetota|Actinomycetia|Mycobacteriales|Pseudonocardiaceae||	7
Bacteria|Actinomycetota|Actinomycetia|Mycobacteriales|Pseudonocardiaceae|Actinophytocola|	14
Bacteria|Actinomycetota|Actinomycetia|Mycobacteriales|Pseudonocardiaceae|Amycolatopsis|	7
Bacteria|Actinomycetota|Actinomycetia|Mycobacteriales|Pseudonocardiaceae|CAJCJE01|	14
Bacteria|Actinomycetota|Actinomycetia|Mycobacteriales|Pseudonocardiaceae|GCA-003244245|	35
Bacteria|Actinomycetota|Actinomycetia|Propionibacteriales|Nocardioidaceae||	21
Bacteria|Actinomycetota|Actinomycetia|Propionibacteriales|Nocardioidaceae|Nocardioides|	21
Bacteria|Actinomycetota|Actinomycetia|Propionibacteriales|Propionibacteriaceae|JAJTCL01|	21
Bacteria|Actinomycetota|Actinomycetia|Propionibacteriales|Propionibacteriaceae|Propionicimonas|Propionicimonas sp017882685	7
Bacteria|Actinomycetota|Actinomycetia|Streptomycetales|Streptomycetaceae|Streptomyces|	7
Bacteria|Actinomycetota|Actinomycetia|Streptosporangiales|Streptosporangiaceae||	28
Bacteria|Actinomycetota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|Actinoallomurus|	7
Bacteria|Actinomycetota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|Chersky-822|	14
Bacteria|Actinomycetota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|JAFARZ01|	7
Bacteria|Actinomycetota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|JAJYUU01|	7
Bacteria|Actinomycetota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|Palsa-506|	14
Bacteria|Actinomycetota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|Trebonia|	14
Bacteria|Actinomycetota|Actinomycetia|Streptosporangiales|Streptosporangiaceae|UBA9676|	28
Bacteria|Actinomycetota|Rubrobacteria|Rubrobacterales|Rubrobacteraceae||	7
Bacteria|Actinomycetota|Rubrobacteria|Rubrobacterales|Rubrobacteraceae|SCSIO-52915|	7
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae||	49
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|13-2-20CM-68-14|	14
Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|3-1-20CM-4-69-9|	21
